datetime,Tamaki Drive EB
01/07/2010,570
02/07/2010,473
03/07/2010,766
04/07/2010,240
05/07/2010,172
06/07/2010,423
07/07/2010,401
08/07/2010,496
09/07/2010,915
10/07/2010,646
11/07/2010,453
12/07/2010,340
13/07/2010,551
14/07/2010,505
15/07/2010,318
16/07/2010,506
17/07/2010,650
18/07/2010,413
19/07/2010,612
20/07/2010,361
21/07/2010,347
22/07/2010,338
23/07/2010,906
24/07/2010,736
25/07/2010,441
26/07/2010,468
27/07/2010,405
28/07/2010,491
29/07/2010,554
30/07/2010,769
31/07/2010,537
01/08/2010,283
02/08/2010,415
03/08/2010,250
04/08/2010,416
05/08/2010,532
06/08/2010,403
07/08/2010,430
08/08/2010,391
09/08/2010,635
10/08/2010,530
11/08/2010,566
12/08/2010,270
13/08/2010,104
14/08/2010,626
15/08/2010,479
16/08/2010,477
17/08/2010,364
18/08/2010,411
19/08/2010,347
20/08/2010,424
21/08/2010,503
22/08/2010,322
23/08/2010,587
24/08/2010,401
25/08/2010,445
26/08/2010,277
27/08/2010,642
28/08/2010,471
29/08/2010,401
30/08/2010,549
31/08/2010,628
01/09/2010,409
02/09/2010,336
03/09/2010,472
04/09/2010,633
05/09/2010,326
06/09/2010,259
07/09/2010,598
08/09/2010,467
09/09/2010,593
10/09/2010,583
11/09/2010,934
12/09/2010,453
13/09/2010,503
14/09/2010,613
15/09/2010,449
16/09/2010,244
17/09/2010,548
18/09/2010,282
19/09/2010,267
20/09/2010,383
21/09/2010,392
22/09/2010,262
23/09/2010,356
24/09/2010,433
25/09/2010,544
26/09/2010,700
27/09/2010,595
28/09/2010,843
29/09/2010,731
30/09/2010,398
01/10/2010,282
02/10/2010,823
03/10/2010,949
04/10/2010,757
05/10/2010,860
06/10/2010,694
07/10/2010,650
08/10/2010,591
09/10/2010,603
10/10/2010,943
11/10/2010,291
12/10/2010,671
13/10/2010,398
14/10/2010,658
15/10/2010,564
16/10/2010,1123
17/10/2010,477
18/10/2010,441
19/10/2010,746
20/10/2010,507
21/10/2010,430
22/10/2010,551
23/10/2010,954
24/10/2010,909
25/10/2010,1031
26/10/2010,840
27/10/2010,755
28/10/2010,765
29/10/2010,732
30/10/2010,741
31/10/2010,624
01/11/2010,695
02/11/2010,873
03/11/2010,752
04/11/2010,701
05/11/2010,354
06/11/2010,882
07/11/2010,881
08/11/2010,688
09/11/2010,843
10/11/2010,821
11/11/2010,608
12/11/2010,512
13/11/2010,996
14/11/2010,759
15/11/2010,580
16/11/2010,980
17/11/2010,814
18/11/2010,708
19/11/2010,527
20/11/2010,768
21/11/2010,349
22/11/2010,584
23/11/2010,653
24/11/2010,753
25/11/2010,633
26/11/2010,522
27/11/2010,795
28/11/2010,769
29/11/2010,718
30/11/2010,909
01/12/2010,721
02/12/2010,733
03/12/2010,653
04/12/2010,864
05/12/2010,855
06/12/2010,612
07/12/2010,660
08/12/2010,734
09/12/2010,670
10/12/2010,586
11/12/2010,714
12/12/2010,603
13/12/2010,691
14/12/2010,407
15/12/2010,762
16/12/2010,356
17/12/2010,340
18/12/2010,379
19/12/2010,260
20/12/2010,457
21/12/2010,684
22/12/2010,688
23/12/2010,634
24/12/2010,481
25/12/2010,384
26/12/2010,614
27/12/2010,555
28/12/2010,143
29/12/2010,738
30/12/2010,489
31/12/2010,483
01/01/2011,503
02/01/2011,797
03/01/2011,649
04/01/2011,777
05/01/2011,659
06/01/2011,544
07/01/2011,541
08/01/2011,731
09/01/2011,702
10/01/2011,777
11/01/2011,520
12/01/2011,803
13/01/2011,828
14/01/2011,781
15/01/2011,879
16/01/2011,899
17/01/2011,686
18/01/2011,365
19/01/2011,578
20/01/2011,905
21/01/2011,680
22/01/2011,555
23/01/2011,115
24/01/2011,385
25/01/2011,980
26/01/2011,949
27/01/2011,985
28/01/2011,499
29/01/2011,194
30/01/2011,780
31/01/2011,664
01/02/2011,825
02/02/2011,872
03/02/2011,840
04/02/2011,656
05/02/2011,1037
06/02/2011,862
07/02/2011,785
08/02/2011,693
09/02/2011,632
10/02/2011,867
11/02/2011,827
12/02/2011,684
13/02/2011,849
14/02/2011,854
15/02/2011,942
16/02/2011,697
17/02/2011,1009
18/02/2011,791
19/02/2011,1001
20/02/2011,771
21/02/2011,723
22/02/2011,768
23/02/2011,668
24/02/2011,759
25/02/2011,700
26/02/2011,994
27/02/2011,811
28/02/2011,772
01/03/2011,943
02/03/2011,625
03/03/2011,769
04/03/2011,603
05/03/2011,208
06/03/2011,389
07/03/2011,828
08/03/2011,885
09/03/2011,843
10/03/2011,870
11/03/2011,718
12/03/2011,736
13/03/2011,465
14/03/2011,812
15/03/2011,920
16/03/2011,769
17/03/2011,764
18/03/2011,613
19/03/2011,765
20/03/2011,736
21/03/2011,799
22/03/2011,610
23/03/2011,803
24/03/2011,674
25/03/2011,325
26/03/2011,152
27/03/2011,583
28/03/2011,664
29/03/2011,926
30/03/2011,790
31/03/2011,807
